lead time,model,variable,rmse
6,climaX,z,62.73
24,climaX,z,96.19
72,climaX,z,244.08
120,climaX,z,440.40
6,climaX,t2m,0.95
24,climaX,t2m,1.10
72,climaX,t2m,1.43
120,climaX,t2m,1.83
6,climaX,t,0.88
24,climaX,t,1.11
72,climaX,t,1.59
120,climaX,t,2.23
6,climaX,u10,1.08
24,climaX,u10,1.41
72,climaX,u10,2.18
120,climaX,u10,2.94
6,IFS,z,26.93
24,IFS,z,51.01
72,IFS,z,152.15
120,IFS,z,331.45
6,IFS,t2m,0.97
24,IFS,t2m,1.02
72,IFS,t2m,1.30
120,IFS,t2m,1.72
6,IFS,t,0.69
24,IFS,t,0.87
72,IFS,t,1.34
120,IFS,t,2.01
6,IFS,u10,0.80
24,IFS,u10,1.11
72,IFS,u10,1.92
120,IFS,u10,2.89
